sensor_id,timestamp_recorded_utc,no2_ppb,no2_ugm3,pm25_ugm3,temp_c,rh_pct,flag_out_of_range__no2_ppb,flag_out_of_range__no2_ugm3,flag_out_of_range__pm25_ugm3,flag_out_of_range__rh_pct,flag_out_of_range__temp_c,flag_outlier_any,flag_missing__no2_ppb,flag_missing__no2_ugm3,flag_missing__pm25_ugm3,flag_missing__temp_c,flag_missing__rh_pct,flag_missing_any
ZEPHYR_001,2025-06-15 00:00:00+00:00,25.2,49.47,6.67,12.42,77.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 01:00:00+00:00,22.16,43.93,8.62,9.66,81.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 02:00:00+00:00,20.43,40.33,11.01,10.89,85.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 03:00:00+00:00,17.73,34.76,2.65,12.8,98.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 04:00:00+00:00,19.32,37.87,14.3,12.89,91.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 05:00:00+00:00,25.02,49.21,10.65,11.89,67.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 06:00:00+00:00,24.36,47.35,7.34,15.31,86.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 07:00:00+00:00,24.28,46.93,12.42,16.91,59.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 08:00:00+00:00,20.64,39.77,7.46,17.79,68.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 09:00:00+00:00,31.57,60.52,9.95,19.33,59.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 10:00:00+00:00,27.37,51.77,7.88,23.26,51.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 11:00:00+00:00,20.67,39.28,9.54,21.89,29.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 12:00:00+00:00,34.37,65.28,8.0,22.05,40.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 13:00:00+00:00,24.7,46.7,10.45,23.37,35.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 14:00:00+00:00,29.69,55.95,10.35,24.37,48.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 15:00:00+00:00,25.94,48.75,10.2,25.16,58.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 16:00:00+00:00,24.13,45.49,9.25,24.22,36.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 17:00:00+00:00,24.17,45.85,9.53,22.37,48.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 18:00:00+00:00,18.07,34.28,13.98,22.37,42.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 19:00:00+00:00,18.47,35.73,7.67,16.7,51.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 20:00:00+00:00,23.78,45.95,8.46,16.97,69.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 21:00:00+00:00,18.53,36.1,10.45,14.6,60.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 22:00:00+00:00,13.77,26.89,11.85,13.96,82.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-15 23:00:00+00:00,25.78,50.63,7.15,12.35,72.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-16 00:00:00+00:00,26.39,51.73,8.73,12.88,84.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-16 01:00:00+00:00,21.64,42.45,5.75,12.63,78.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-16 02:00:00+00:00,18.55,36.58,6.61,11.13,89.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-16 03:00:00+00:00,27.31,53.77,8.38,11.61,79.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_001,2025-06-16 04:00:00+00:00,19.65,38.51,7.57,12.9,76.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
